,easing,slack,covid,at_target,supply_shock,overheating
"Uncertainty
density",0.0991502811341608,-0.1333847792046863,1.5381259940549359,-0.11845429289225816,0.0017412725545514207,-0.5873846909838999
"Dissent
density",0.3578278745821364,-0.01769056847759101,-0.5276221074055032,0.2538424459872964,-0.02511014431977126,-0.4683114059801383
"Guidance
specificity",-0.06022228117931961,-0.03312352919607001,-0.724212687048964,-0.21760194758247722,-0.002427537462593388,-0.12408465957065218
